ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
2361589,LG,WKGX201H*A,,048231029254;048231029261,Front Load,Laundry Center,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3867,,,,,,,,,No,,,,Yes,ES_1118034_WKGX201H*A_06122020035411_80046329,06/19/2020,06/12/2020,United States,ES_1118034_WKGX201H*A_06122020035054_80046328,No
2406185,LG,WKGX301H*A,,195174048498,Front Load,Laundry Center,None,Residential,5,,27.0,,2.92,1.84,99,2.9,4.7,4278,,,,,,,,,No,,,,Yes,ES_1118034_WKGX301H*A_12232022024145_80153533,12/22/2022,12/20/2022,"United States, Canada",ES_1118034_WKGX301H*A_12202022042200_80153530,No
3354671,LG,WKHC152H*A,,195174071021,Front Load,Laundry Center,None,Residential,2.4,,24.0,,2.2,1.84,90,3.7,4.7,2609,,,,,,,,,No,,,,Yes,ES_1118034_WKHC152H*A_01022024152658_80195044,12/27/2023,12/27/2023,"United States, Canada",ES_1118034_WKHC152H*A_01022024151305_80195043,Yes
2394265,LG,WKHC202H*A,,195174022887;195174033517,Front Load,Laundry Center,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3867,7.2,,8.00,299,,,9.51,,No,,,,Yes,ES_1118034_WKHC202H*A_03302022123303_80119590,03/25/2022,03/24/2022,"United States, Canada",ES_1118034_WKHC202H*A_03312022111206_80119592,Yes
2740370,LG,WKHC252H*A,,195174072318;195174072370,Front Load,Laundry Center,None,Residential,5,,27.0,,2.92,1.84,99,2.9,4.7,4278,,,,,,,,,No,,,,Yes,ES_1118034_WKHC252H*A_11212023102146_80190193,11/15/2023,11/15/2023,"United States, Canada",ES_1118034_WKHC252H*A_11202023120505_80190189,Yes
2311005,LG,WM1385H*,,48231026123,Front Load,,None,Residential,2.3,,24.0,,2.07,1.84,120,4.2,4.7,2850,,,,,,,,,No,,,,No,,03/19/2016,02/26/2018,"United States, Canada",ES_1118034_WM1385H*_02262018014255_70175340,No
2310496,LG,WM1388H*,,048231016971;772454067891,Front Load,,None,Residential,2.3,,24.0,,2.07,1.84,120,4.2,4.7,2850,,,,,,,,,No,,,,No,,03/19/2016,02/09/2018,"United States, Canada",ES_1118034_WM1388H*_02092018060252_70172585,No
2321541,LG,WM1399H*A,,048231025508;048231026758,Front Load,,None,Residential,2.3,,24.0,,2.07,1.84,120,4.2,4.7,2850,,,,,,,,,No,,,,No,,06/22/2018,06/22/2018,"United States, Canada",ES_1118034_WM1399H*A_06232018124145_6666666_,No
2354285,LG,WM1455H*A,,048231027960;048231027984;772454074943,Front Load,,None,Residential,2.4,,24.0,,2.07,1.84,120,4.2,4.7,2949,,,,,,,,,No,,,,No,,01/29/2020,01/29/2020,"United States, Canada",ES_1118034_WM1455H*A_01312020010131_80031163,No
2310480,LG,WM3085C*,,772454068409,Front Load,,None,Residential,4.5,,27.0,,2.92,1.84,90,3.2,4.7,4220,,,,,,,,,No,,,,No,,12/11/2016,02/08/2018,"United States, Canada",ES_1118034_WM3085C*_02092018060252_70172585,No
